#       ID     mass      age           X1            Y1       I1       J1        H1       K1                    vr
#
1   5.1011   3.0000   0.20112252   -0.17242087  18.2630  18.5190   18.5970  18.6590 2.068091850271432275
2   0.1099   3.0000   0.73427576   -1.81183259  26.5550  24.6420   24.0890  23.7140 4.622326443238105043
7   0.2157   3.0000  -2.77731408    4.86640602  25.7040  24.0720   23.4830  23.1680 -3.901217364762731066
9   0.3283   3.0000  -0.19427750   -1.72929028  25.0980  23.6460   23.0130  22.7390 10.154643408654155934
11   0.1877   3.0000   0.48619218   -0.00359697  25.9000  24.2030   23.6250  23.2950 2.976947242929728787
15   0.2177   3.0000  -1.79461771   -4.20532257  25.7040  24.0720   23.4830  23.1680 0.440885484622381751
17   0.8481   3.0000  -3.54289633   -1.22419433  23.0210  22.1920   21.4960  21.3990 3.055259597798032800
21   0.2293   3.0000   0.33575788    0.64964894  25.6230  24.0150   23.4220  23.1110 -2.743670442418408406
22   0.6174   3.0000   3.40135069   -0.65407209  23.8170  22.7610   22.0090  21.8340 -1.537891518815085679
23   1.8790   3.0000   1.95099958   -4.89546051  20.9270  20.4440   20.0550  20.0070 -5.953582451652920327
25   0.4286   3.0000   1.09980787   -2.52356812  24.5900  23.2930   22.6140  22.3730 3.962666727195830685
29   0.4709   3.0000   0.59178501    4.67376689  24.4290  23.1820   22.4870  22.2580 2.503441713991879425
31   0.1516   3.0000   1.70531940    0.92976011  26.2410  24.4380   23.8750  23.5220 1.906948581238320006
32   1.2439   3.0000  -2.97995831   -3.43459401  22.1430  21.4750   20.9220  20.8500 4.175682497561641782
33   0.7268   3.0000  -4.49135850    0.69051169  23.4700  22.5050   21.7440  21.6050 7.599660659233766324
34   0.2537   3.0000  -0.02550088    0.71386625  25.5080  23.9370   23.3360  23.0330 -5.279658676232058312
36   1.8167   3.0000  -1.82626948    0.44724811  21.0420  20.5450   20.1430  20.0930 -5.262236732546892171
39   0.1140   3.0000  -0.89071415   -3.86069253  26.5550  24.6420   24.0890  23.7140 2.623983446083961280
44   0.2643   3.0000  -4.20574748    0.77360018  25.4380  23.8880   23.2820  22.9850 0.358388809341853687
45   0.1893   3.0000  -4.16808761    1.25509777  25.9000  24.2030   23.6250  23.2950 -7.594030495579347395
46   0.3027   3.0000  -3.09776821    3.45492514  25.2350  23.7430   23.1220  22.8380 -0.295542872125222345
49   0.1234   3.0000  -1.60001081   -1.06338601  26.4690  24.5860   24.0300  23.6610 -10.446102625811278131
50   0.1184   3.0000  -1.18273630   -0.13114399  26.5550  24.6420   24.0890  23.7140 7.415613024411555898
52   0.7416   3.0000  -0.42403422    2.09489706  23.4700  22.5050   21.7440  21.6050 -0.056620986080929331
53   2.0179   3.0000   2.08492456    2.20923882  20.4930  20.0560   19.7080  19.6640 6.347802530886316852
54   0.6028   3.0000  -3.45660455   -2.59460909  23.8170  22.7610   22.0090  21.8340 -4.159280557354230190
55   0.7368   3.0000   1.47431663    3.00752315  23.4700  22.5050   21.7440  21.6050 4.548330899312230891
56   0.1868   3.0000   1.78597974   -4.39054029  25.9400  24.2300   23.6550  23.3220 2.213870984539915376
57   0.4128   3.0000   1.36919903    0.39056430  24.6550  23.3380   22.6650  22.4200 -4.582152521992699512
61   0.5946   3.0000   2.73975240    2.23204678  23.8640  22.7940   22.0450  21.8650 -6.995964300929694346
62   0.6726   3.0000   0.62180894    1.73143503  23.6100  22.6100   21.8470  21.6950 3.337283428306892841
65   0.6472   3.0000  -0.58029894    0.87281654  23.7090  22.6830   21.9240  21.7610 10.165020287634437324
72   0.2092   3.0000   1.61588125   -2.26007118  25.8020  24.1400   23.5570  23.2350 1.048011337909325880
74   0.4835   3.0000   2.17506979   -0.72848013  24.4290  23.1820   22.4870  22.2580 5.918819035872449064
75   0.5758   3.0000   2.75829191   -0.88183279  23.9550  22.8580   22.1170  21.9280 0.338973642521792518
77   0.7931   3.0000   0.45958276   -0.81845704  23.1090  22.2650   21.5580  21.4580 0.500402490956596391
83   0.7505   3.0000   0.27120523   -0.01083337  23.1440  22.2940   21.5830  21.4810 -5.391898460592163822
89   0.1025   3.0000   2.05203478   -2.44271760  26.5690  24.6420   24.0910  23.7130 0.703621642708614270
90   0.1251   3.0000  -1.40969215   -0.08626064  26.4690  24.5860   24.0300  23.6610 -0.769152789937601500
91   0.3412   3.0000  -1.94538752    3.03879870  24.9570  23.5470   22.9020  22.6370 -6.476627530119563936
92   0.4192   3.0000  -0.84371254   -0.76392264  24.5900  23.2930   22.6140  22.3730 6.088647737964508977
98   0.1203   3.0000  -0.60789843    0.40408114  26.5550  24.6420   24.0890  23.7140 8.486915267102835614
100   0.3044   3.0000  -0.27859822    1.11294819  25.2350  23.7430   23.1220  22.8380 1.180295912619443888
101   0.1540   3.0000  -0.16363048   -0.07592103  26.2080  24.4150   23.8510  23.5000 7.173009301928046533
102   0.1673   3.0000   0.35990953   -1.00222390  26.1520  24.3810   23.8140  23.4670 -5.667883904807065498
105   0.4087   3.0000  -0.27684765    0.02729009  24.6550  23.3380   22.6650  22.4200 0.336637408321911191
112   0.1871   3.0000  -0.01841885    0.66304792  25.9400  24.2300   23.6550  23.3220 1.730065891033377268
117   0.1996   3.0000   2.47789568    2.83223090  25.8630  24.1800   23.6000  23.2730 -6.222999564399397165
118   0.1207   3.0000   1.03315746   -0.15858445  26.5550  24.6420   24.0890  23.7140 0.327578730983130118
122   0.6073   3.0000  -3.06092062   -1.65891926  23.8170  22.7610   22.0090  21.8340 0.505685613409144974
