#       ID     mass      age           X1            Y1       I1       J1        H1       K1                    vr
#
6   0.2157   3.0000  -1.31505035   -1.45567192  25.7040  24.0720   23.4830  23.1680 4.135007371296992140
9   1.8780   3.0000   2.99716452    1.00488636  20.9270  20.4440   20.0550  20.0070 -10.925647268545034763
10   0.1877   3.0000   3.02562868    0.35875898  25.9000  24.2030   23.6250  23.2950 -7.550571585509747941
17   0.2808   3.0000  -2.45972951   -0.22581150  25.3270  23.8090   23.1940  22.9040 -8.520495731840503240
19   0.1004   3.0000  -2.28457546   -0.22055298  26.5690  24.6420   24.0910  23.7130 -17.856405700786858404
20   0.2293   3.0000  -1.04170797    0.92148435  25.6230  24.0150   23.4220  23.1110 8.599466106613466110
21   0.6174   3.0000  -2.92787763   -0.78260324  23.8170  22.7610   22.0090  21.8340 0.529718246472301146
23   0.3602   3.0000  -0.73121108    0.74676841  24.9060  23.5110   22.8620  22.6000 -16.076446747344213861
32   0.7268   3.0000  -0.72968884   -2.34242207  23.4700  22.5050   21.7440  21.6050 -5.453185878196014968
34   0.3754   3.0000  -1.22067751    0.02156265  24.9060  23.5110   22.8620  22.6000 7.320224429250616005
35   1.8167   3.0000  -1.57237542   -0.26834458  21.0420  20.5450   20.1430  20.0930 1.743353418435584112
37   0.2259   3.0000   0.04539748   -1.14364702  25.6230  24.0150   23.4220  23.1110 -3.924836863499606476
40   0.1185   3.0000   2.89575599   -0.48894293  26.5550  24.6420   24.0890  23.7140 -4.371015218052518136
44   0.1893   3.0000  -0.53829720    1.49536391  25.9000  24.2030   23.6250  23.2950 4.056498400923906900
46   0.3907   3.0000  -3.40953322   -1.05878382  24.9060  23.5110   22.8620  22.6000 -12.127824639251294059
50   0.2000   3.0000  -2.98220907   -0.27375557  25.8630  24.1800   23.6000  23.2730 -1.177335946567674707
51   0.7416   3.0000  -3.84237579    1.12328701  23.4700  22.5050   21.7440  21.6050 1.882426608132164780
52   2.0179   3.0000   0.05501323    0.74192283  20.4930  20.0560   19.7080  19.6640 -8.569995371909012505
53   0.6028   3.0000   2.87840621    1.84611878  23.8170  22.7610   22.0090  21.8340 -4.982321765615222553
55   0.1868   3.0000  -0.33810794    1.46231407  25.9400  24.2300   23.6550  23.3220 3.291843903432027929
57   0.1378   3.0000   3.22243395    4.28439632  26.3580  24.5120   23.9540  23.5920 -0.351945500580283732
59   0.4467   3.0000  -2.25487867    2.78238119  24.5900  23.2930   22.6140  22.3730 6.981436054606282582
60   0.5946   3.0000  -1.32631860    1.34559943  23.8640  22.7940   22.0450  21.8650 -0.801356799604687198
61   0.6726   3.0000   2.85530824    1.27600809  23.6100  22.6100   21.8470  21.6950 -4.098336366054679658
62   0.2104   3.0000  -4.07145576    3.42527908  25.8020  24.1400   23.5570  23.2350 9.805651244837820357
64   0.6472   3.0000  -0.06055982    0.48645496  23.7090  22.6830   21.9240  21.7610 7.740199418691907418
65   0.3704   3.0000  -0.51438077    0.47774274  24.9060  23.5110   22.8620  22.6000 -11.272606947137919775
68   0.4227   3.0000   2.17773349    0.28488707  24.5900  23.2930   22.6140  22.3730 7.669638823350957146
70   0.1799   3.0000  -2.89786979   -3.31936613  25.9960  24.2700   23.6970  23.3610 -1.576896875265793918
75   0.4816   3.0000  -2.12541644    1.39739133  24.4290  23.1820   22.4870  22.2580 -5.627214878725032676
77   0.1615   3.0000  -1.37703422   -0.59284851  26.1930  24.4070   23.8420  23.4930 2.336929248733758069
79   0.2141   3.0000   2.94642870   -1.54703082  25.8020  24.1400   23.5570  23.2350 6.717022602949317189
80   0.1009   3.0000  -2.51115922   -2.13734144  26.5690  24.6420   24.0910  23.7130 -1.119254834871863613
83   0.2472   3.0000  -4.40467769   -3.91797975  25.5080  23.9370   23.3360  23.0330 1.210627623564586974
86   0.7577   3.0000  -0.68525276    0.04854307  23.1440  22.2940   21.5830  21.4810 5.361269856646498688
89   0.1251   3.0000  -2.97525464    2.00865230  26.4690  24.5860   24.0300  23.6610 -0.629101174385929163
93   0.4365   3.0000  -3.48716147    1.12283447  24.5900  23.2930   22.6140  22.3730 6.340650045798237322
94   2.4130   3.0000   3.38342544   -2.18001066  18.9270  18.8220   18.7600  18.7480 -0.551031197732407607
96   0.1933   3.0000  -0.52697160   -1.43399100  25.8740  24.1860   23.6070  23.2790 3.978169223392329368
99   0.3044   3.0000   0.60473845    1.54231766  25.2350  23.7430   23.1220  22.8380 -10.429382644852635664
100   0.1540   3.0000   0.18147306    0.42197199  26.2080  24.4150   23.8510  23.5000 -4.848833107481056892
101   0.1673   3.0000   2.96625942   -3.07922499  26.1520  24.3810   23.8140  23.4670 3.428533646476366936
102   0.5024   3.0000   0.47060474    0.08532428  24.2130  23.0350   22.3180  22.1060 -16.657289682585773249
104   0.4087   3.0000  -0.49418124   -0.76978057  24.6550  23.3380   22.6650  22.4200 -2.920823160848739608
105   0.1627   3.0000  -1.17573278    2.22952870  26.1930  24.4070   23.8420  23.4930 -6.240703740089857732
108   0.2000   3.0000  -1.68686982    0.19166185  25.8630  24.1800   23.6000  23.2730 -10.167324698104350134
115   0.5185   3.0000  -0.11512685    0.46160828  24.1690  23.0050   22.2840  22.0760 -7.170510256808285021
121   0.6073   3.0000   0.87394646    0.94708802  23.8170  22.7610   22.0090  21.8340 0.297045536996370541
125   0.1931   3.0000   0.06604812    1.68801171  25.8740  24.1860   23.6070  23.2790 -3.438650039210986442
126   0.3512   3.0000   3.20174269   -3.23237056  24.9060  23.5110   22.8620  22.6000 1.168471363973317745
